mfcc_1,mfcc_2,mfcc_3,mfcc_4,mfcc_5,mfcc_6,mfcc_7,mfcc_8,mfcc_9,mfcc_10,mfcc_11,mfcc_12,mfcc_13,mfcc_14,mfcc_15,mfcc_16,mfcc_17,mfcc_18,mfcc_19,mfcc_20,mfcc_21,mfcc_22,mfcc_23,mfcc_24,mfcc_25,mfcc_26,mfcc_27,mfcc_28,mfcc_29,mfcc_30,mfcc_31,mfcc_32,mfcc_33,mfcc_34,mfcc_35,mfcc_36,mfcc_37,mfcc_38,mfcc_39,mfcc_40,delta_1,delta_2,delta_3,delta_4,delta_5,delta_6,delta_7,delta_8,delta_9,delta_10,delta_11,delta_12,delta_13,delta_14,delta_15,delta_16,delta_17,delta_18,delta_19,delta_20,delta_21,delta_22,delta_23,delta_24,delta_25,delta_26,delta_27,delta_28,delta_29,delta_30,delta_31,delta_32,delta_33,delta_34,delta_35,delta_36,delta_37,delta_38,delta_39,delta_40,spec_centroid,spec_bw,rolloff,zcr,label
-509.74169921875,72.91060638427734,-22.406801223754883,16.511821746826172,-1.6671429872512817,-5.257656574249268,-17.939054489135742,-10.610270500183105,-27.63128662109375,-11.000836372375488,-1.3600846529006958,-11.68867015838623,-4.2864089012146,-10.292201042175293,-5.093676567077637,3.574054002761841,-17.220413208007812,-8.726819038391113,-4.770182132720947,-7.414271354675293,-11.361105918884277,-3.027020215988159,-10.547101020812988,-11.184131622314453,-2.710601806640625,-8.45399284362793,-8.9367094039917,-2.4404358863830566,-9.507305145263672,-5.095779895782471,-8.949183464050293,-8.493447303771973,-4.245660781860352,-4.367722034454346,-1.3414887189865112,2.6782987117767334,6.533543109893799,6.582626819610596,11.240585327148438,17.224931716918945,-0.08687509596347809,-0.07308778166770935,0.006942851934581995,0.027809347957372665,0.010986885987222195,0.012693698517978191,0.02721952274441719,0.030675755813717842,0.025148743763566017,0.011800560168921947,-0.005386704578995705,-0.002400823635980487,0.022394897416234016,0.03166677802801132,0.012554491870105267,-0.0014170041540637612,0.007452363148331642,0.017160532996058464,0.012343832291662693,0.003618137678131461,0.0007710401550866663,0.0010910748969763517,0.00040465869824402034,-0.0007295315153896809,0.0016190418973565102,0.008063573390245438,0.01113326009362936,0.0065046208910644054,0.002238508313894272,0.004268829710781574,0.006193384528160095,0.003064588410779834,-0.002582784742116928,-0.00938568077981472,-0.013485923409461975,-0.0076737916097044945,0.0013026897795498371,-0.0013048318214714527,-0.008261533454060555,-0.00036092172376811504,2354.7081139311113,2116.4272601232847,4423.99658203125,0.17686673677884615,neutral
-485.5273132324219,71.1910629272461,-23.24176025390625,15.829132080078125,0.09964276850223541,-7.884297847747803,-17.785011291503906,-10.122462272644043,-26.822158813476562,-5.143760681152344,-1.3429020643234253,-9.164032936096191,-6.211166858673096,-9.810447692871094,-4.192694664001465,-0.31911876797676086,-16.275423049926758,-8.557412147521973,-3.920980215072632,-8.776851654052734,-14.471585273742676,-2.750969171524048,-14.059282302856445,-9.628626823425293,-3.5493807792663574,-7.918946266174316,-7.4301886558532715,-1.3177775144577026,-9.371243476867676,-2.7357845306396484,-8.27930736541748,-8.112387657165527,-4.635251522064209,-4.7839202880859375,-0.3828086256980896,3.9885470867156982,5.927229404449463,7.220088481903076,12.698140144348145,17.922101974487305,0.038382191210985184,0.11241821944713593,0.19929391145706177,0.193642720580101,0.11613982915878296,0.06190384924411774,0.054263364523649216,0.05095917731523514,0.02702898532152176,-0.003625591052696109,-0.013216678984463215,0.009925431571900845,0.04067854583263397,0.040495697408914566,0.010479934513568878,-0.0088825523853302,-0.0008378395577892661,0.0034742208663374186,-0.018224719911813736,-0.04057927429676056,-0.036485325545072556,-0.020927974954247475,-0.017546961084008217,-0.019873442128300667,-0.013445436023175716,-0.0033050316851586103,-0.002060934202745557,-0.012427590787410736,-0.023360861465334892,-0.01694265939295292,0.007010356988757849,0.02249245159327984,0.016243869438767433,0.010180208832025528,0.020313085988163948,0.030658574774861336,0.03008497692644596,0.03278318792581558,0.04618652164936066,0.05806537717580795,2366.215388673472,2172.613437928834,4499.2799729567305,0.15824068509615385,neutral
-503.4163513183594,70.97685241699219,-17.06257438659668,19.894681930541992,-2.748739004135132,-3.625181198120117,-14.870342254638672,-11.111701011657715,-24.42057228088379,-8.982282638549805,-2.689767599105835,-9.265316009521484,-4.94171142578125,-9.916023254394531,-4.503340244293213,2.269721269607544,-14.986351013183594,-7.544769763946533,-3.9535770416259766,-9.886311531066895,-13.07475757598877,-3.8438923358917236,-9.38290023803711,-9.620025634765625,-4.033867835998535,-6.078210353851318,-7.31504487991333,-3.6177735328674316,-10.057563781738281,-3.877790927886963,-8.176913261413574,-6.345235347747803,-3.4301586151123047,-4.1850762367248535,-1.8782302141189575,2.468095064163208,3.9421939849853516,8.56020450592041,11.640668869018555,14.357305526733398,-0.0657954290509224,-0.07328347116708755,-0.03186608850955963,-0.0021272513549774885,0.002288114046677947,-0.004357998259365559,-0.0027763659600168467,0.009141598828136921,0.018867742270231247,0.017830319702625275,0.011051163077354431,0.008176421746611595,0.010633798316121101,0.01197297777980566,0.008663966320455074,0.005363776348531246,0.008222565054893494,0.01671436056494713,0.02513977885246277,0.029643718153238297,0.02956983633339405,0.023865502327680588,0.01190926879644394,-0.0019229009049013257,-0.00940877478569746,-0.0061090909875929356,0.003590070176869631,0.009623158723115921,0.004951037000864744,-0.007594182156026363,-0.017705285921692848,-0.018216248601675034,-0.012294241227209568,-0.008452019654214382,-0.009847788140177727,-0.011470736004412174,-0.008004525676369667,-0.0010034015867859125,0.004184018820524216,0.00623583048582077,2356.2144871263768,2055.063126176288,4372.31689453125,0.12504131610576924,neutral
-500.4790954589844,68.1999740600586,-21.15283966064453,18.607755661010742,-3.0862693786621094,-1.9549020528793335,-17.82942008972168,-11.282979011535645,-24.998716354370117,-7.816566467285156,0.6266721487045288,-10.515514373779297,-4.466997146606445,-10.592557907104492,-3.2964746952056885,0.1826775223016739,-16.873167037963867,-6.9633564949035645,-4.398438453674316,-10.858541488647461,-12.385941505432129,-2.263629913330078,-10.848395347595215,-8.690803527832031,-4.188459396362305,-8.96556282043457,-6.877392292022705,-3.4523208141326904,-9.351778030395508,-2.902832269668579,-9.795584678649902,-6.4735822677612305,-3.68277645111084,-5.7156982421875,0.2767467796802521,2.7725143432617188,4.855963230133057,9.150823593139648,11.992724418640137,16.167104721069336,-0.15104299783706665,-0.13922879099845886,-0.023232532665133476,0.005845612846314907,-0.013969875872135162,-0.012884183786809444,0.0030857380479574203,0.022597862407565117,0.03905594348907471,0.028567438945174217,0.004508268088102341,0.00493621826171875,0.015739774331450462,0.004937934689223766,-0.007503113243728876,0.005320556461811066,0.02196361869573593,0.016358118504285812,0.0033555692061781883,0.0072812591679394245,0.021734729409217834,0.0244019515812397,0.012013967148959637,-0.0008506481535732746,-0.006652349606156349,-0.007152637932449579,-0.003294189227744937,-0.000300154322758317,-0.0027800339739769697,-0.0012603612849488854,0.008460118435323238,0.010707883164286613,0.0011596533004194498,-0.004671126138418913,-0.0033434941433370113,-0.0011351952562108636,0.0026645513717085123,0.0022453453857451677,-0.0076947580091655254,-0.014185222797095776,2361.136631206666,2161.8152282131423,4508.472994290865,0.2102726862980769,neutral
-500.32037353515625,80.27031707763672,-19.13142204284668,18.56292152404785,2.1153225898742676,-5.963718891143799,-17.961809158325195,-5.631718635559082,-24.14764976501465,-9.26331901550293,2.286776065826416,-10.973396301269531,-9.615023612976074,-9.197835922241211,-4.100492000579834,-0.2570594847202301,-10.844228744506836,-9.832111358642578,-5.339526176452637,-10.969162940979004,-14.848791122436523,-3.277355909347534,-11.008071899414062,-7.3843674659729,-4.211193084716797,-6.868158340454102,-10.523451805114746,-2.096440315246582,-8.825555801391602,-0.06327538192272186,3.254117012023926,5.007444381713867,3.5023443698883057,-5.334675312042236,-8.091072082519531,-4.615203857421875,1.382226586341858,9.034489631652832,13.215545654296875,17.39205551147461,0.7456416487693787,0.4632100760936737,-0.055074047297239304,0.2660174071788788,0.24997884035110474,0.023959798738360405,-0.030763937160372734,-0.0639188289642334,-0.044440459460020065,0.06478582322597504,0.08542490750551224,-0.018542664125561714,-0.11585400998592377,-0.05763111263513565,0.06710990518331528,0.14410045742988586,0.013339284807443619,-0.08392371982336044,0.04304884374141693,-0.005574820563197136,-0.11132869124412537,-0.05452626943588257,-0.004969376605004072,-0.036303043365478516,-0.057079315185546875,-0.06322547793388367,-0.045307718217372894,-0.0329698845744133,-0.03094618208706379,-0.0705408975481987,-0.07155430316925049,-0.03147641569375992,-0.014676680788397789,-0.008265619166195393,0.018175257369875908,0.0454697422683239,0.0345703549683094,0.07026052474975586,0.0987730324268341,-0.0028611477464437485,2064.872502064491,2061.6649269463474,3855.934119591346,0.1699894831730769,calm
-488.8887634277344,74.01582336425781,-20.83489418029785,17.20075798034668,2.3758797645568848,-7.600179195404053,-16.37828826904297,-10.0250883102417,-29.135276794433594,-8.110883712768555,-0.30220088362693787,-12.671704292297363,-8.603453636169434,-12.6288423538208,-5.50234317779541,1.0696929693222046,-15.787946701049805,-9.086358070373535,-4.003300666809082,-14.530203819274902,-14.745209693908691,-4.585719585418701,-14.642265319824219,-7.8687357902526855,-3.133439302444458,-9.795780181884766,-10.138014793395996,-3.729538679122925,-10.665519714355469,2.209149122238159,-0.8954199552536011,2.608541488647461,2.2055420875549316,-7.836829662322998,-7.748106956481934,-5.244699478149414,3.3060364723205566,9.705665588378906,15.593963623046875,17.987403869628906,0.6185082197189331,0.6573269367218018,0.058439578860998154,0.029617298394441605,0.20058108866214752,0.15448488295078278,-0.025039078667759895,-0.055798809975385666,0.057522114366292953,0.13027285039424896,0.06242167577147484,-0.11194766312837601,-0.1703869253396988,-0.025104817003011703,0.036900993436574936,0.06596656143665314,-0.04745671898126602,-0.10940321534872055,-0.05660621076822281,-0.015713082626461983,-0.06956394016742706,-0.12482783943414688,-0.025566263124346733,-0.05358368158340454,-0.0463540144264698,-0.012053364887833595,-0.058541905134916306,-0.07046724110841751,0.035560283809900284,-0.010278056375682354,-0.03459468111395836,0.053416647017002106,0.02233097329735756,0.011376168578863144,0.06027938425540924,0.07104994356632233,0.0013612380716949701,0.015638645738363266,0.014311023987829685,-0.012289384379982948,2350.536206748306,2144.363375141619,4309.704965444712,0.13271484375,calm
-501.42657470703125,82.48280334472656,-4.497141361236572,17.48619270324707,-3.594376564025879,-2.778228521347046,-14.129878997802734,-5.320708751678467,-27.46394157409668,-11.100605010986328,-1.5370475053787231,-7.864346981048584,-9.24268913269043,-13.582719802856445,-2.2889487743377686,-4.072455406188965,-16.40869903564453,-6.8058319091796875,-8.189245223999023,-12.560003280639648,-12.53952407836914,-4.55209493637085,-13.192633628845215,-10.120659828186035,-6.128517150878906,-7.6603240966796875,-9.464423179626465,-3.5289411544799805,-7.6967902183532715,-1.8294849395751953,-0.7776759266853333,1.2661644220352173,-0.5903109312057495,-7.781084060668945,-8.852124214172363,-4.3496785163879395,-2.1365649700164795,5.5959296226501465,8.81080436706543,15.112041473388672,0.9566580057144165,0.8820669054985046,0.1036013588309288,0.0011629544897004962,0.1858227252960205,0.13861364126205444,0.08712897449731827,0.0022010363172739744,-0.07074804604053497,-0.07413620501756668,0.06745414435863495,0.09671130031347275,-0.07093216478824615,-0.15964384377002716,-0.08561399579048157,0.027152398601174355,-0.013905254192650318,-0.05846218764781952,-0.06336792558431625,-0.0769423097372055,-0.12002532929182053,-0.11914463341236115,-0.018345605581998825,-0.06953883916139603,-0.14791083335876465,-0.09849920868873596,-0.055487118661403656,-0.07742631435394287,-0.05280006304383278,-0.04450961574912071,-0.0677327811717987,-0.0441862978041172,-0.02277022786438465,0.01882213167846203,0.016842830926179886,-0.009323116391897202,-0.002292766934260726,0.024706106632947922,0.068095363676548,0.1122419685125351,2015.9583150846374,2030.9155886231215,3737.004582331731,0.15446213942307693,calm
-474.8270568847656,76.842041015625,-16.231382369995117,15.778258323669434,-3.8270232677459717,-6.259664535522461,-19.827171325683594,-9.297348022460938,-29.162498474121094,-10.222564697265625,1.534271001815796,-11.039010047912598,-6.682121276855469,-13.13497257232666,-4.553716659545898,-3.1393895149230957,-14.155072212219238,-6.659299373626709,-5.622863292694092,-10.84736442565918,-15.855053901672363,-6.103679180145264,-12.532549858093262,-9.186697959899902,-3.829152822494507,-8.104690551757812,-11.462029457092285,-2.6216373443603516,-8.937868118286133,0.7258306741714478,0.9804659485816956,1.5024334192276,0.7998150587081909,-6.4384307861328125,-9.130983352661133,-6.386225700378418,-0.7027685046195984,7.8540425300598145,12.674457550048828,18.091121673583984,0.678064227104187,0.6827587485313416,0.04980114474892616,0.03847920522093773,0.22092564404010773,0.10769279301166534,-0.11031485348939896,-0.1270150989294052,-0.004302259534597397,0.0737006813287735,0.03611338138580322,-0.07913495600223541,-0.15479676425457,-0.06589553505182266,0.04990989342331886,0.11008650064468384,-0.07927611470222473,-0.16593556106090546,-0.05373600870370865,-0.005745286121964455,-0.07717743515968323,-0.1549641489982605,-0.0442635752260685,-0.06945739686489105,-0.13589145243167877,-0.0659310445189476,-0.015859471634030342,-0.0870172455906868,-0.056990284472703934,-0.036061227321624756,-0.06500901281833649,-0.01701674796640873,-0.011821218766272068,-0.02015008218586445,-0.0005772077129222453,-0.0025322253350168467,0.019576720893383026,0.03078368306159973,0.04035114124417305,0.028707697987556458,2163.980377550231,2037.342414307414,3960.701434795673,0.1344538762019231,calm
-513.15625,87.66751861572266,-21.979228973388672,20.729808807373047,-0.41090109944343567,-9.614428520202637,-18.49696159362793,-12.102058410644531,-27.607341766357422,-2.2139899730682373,-0.6230456829071045,-11.17736530303955,-3.6565372943878174,-14.560916900634766,-5.121784687042236,-0.9230906367301941,-16.778661727905273,-6.512966632843018,-2.9882941246032715,-10.694652557373047,-14.864158630371094,-1.965234637260437,-17.22103500366211,-5.433419227600098,-4.591092586517334,-7.202765941619873,-6.446429252624512,-4.109953880310059,-7.8536376953125,0.5604580044746399,-2.287984609603882,4.089530944824219,-0.11372921615839005,-1.8861972093582153,-11.568196296691895,-5.032388210296631,-1.728034257888794,10.552168846130371,15.965739250183105,21.124034881591797,2.3396544456481934,1.2025960683822632,0.0020017477218061686,0.027260348200798035,0.0071495003066957,-0.20355266332626343,0.01025147084146738,-0.07357654720544815,-0.11416350305080414,0.041905734688043594,0.06069226562976837,0.00036552868550643325,-0.0250991377979517,-0.11467032134532928,-0.11800551414489746,0.025040585547685623,-0.053898196667432785,-0.16468746960163116,-0.05499953776597977,-0.04863063618540764,-0.07328303158283234,0.014355494640767574,-0.04172298684716225,-0.09709836542606354,0.013174128718674183,0.017208190634846687,-0.08039642870426178,0.002599818864837289,-0.026774881407618523,-0.12004382163286209,-0.11176557093858719,-0.08206170797348022,-0.1253547966480255,-0.07070974260568619,0.022705869749188423,0.1908234804868698,0.2521362900733948,0.3579847812652588,0.2006673663854599,0.08775635808706284,2119.6574978702793,1938.8436676694905,3812.2051532451924,0.12910531850961537,calm
-520.9196166992188,83.24580383300781,-21.80327606201172,17.77001953125,-0.6509627103805542,-5.518351078033447,-22.54310417175293,-13.273765563964844,-23.715917587280273,-11.138321876525879,0.3383046090602875,-12.7081298828125,-8.061897277832031,-13.621898651123047,-6.724061965942383,-1.6024980545043945,-14.17442512512207,-10.233868598937988,-4.225356578826904,-9.063972473144531,-16.243242263793945,-1.7911840677261353,-14.697784423828125,-8.389689445495605,-4.131926536560059,-8.533147811889648,-9.757084846496582,-4.333587169647217,-7.554001808166504,0.7430607080459595,0.23179008066654205,1.2760878801345825,-0.4802548885345459,-5.432034969329834,-9.789970397949219,-0.9831816554069519,3.641601324081421,10.29981803894043,14.022492408752441,16.751304626464844,1.0668623447418213,0.9366322755813599,0.05029798671603203,-0.028727039694786072,0.25949928164482117,0.18542395532131195,-0.02663850039243698,-0.15597127377986908,-0.15290941298007965,-0.08182921260595322,0.020529216155409813,0.07782109826803207,-0.03854099288582802,-0.14368870854377747,-0.056983448565006256,0.07035233080387115,-0.021826274693012238,-0.15164799988269806,-0.06519133597612381,0.010724346153438091,-0.06374900043010712,-0.11965163052082062,-0.07114160805940628,-0.08210159838199615,-0.14156770706176758,-0.07435934245586395,-0.021219957619905472,-0.049116261303424835,-0.07826101034879684,-0.11467313021421432,-0.07406742125749588,-0.018214592710137367,-0.03449685126543045,-0.014193574897944927,0.04843239486217499,0.09865336865186691,0.11396980285644531,0.13071821630001068,0.13094471395015717,0.0988297313451767,2184.0704999577515,1999.2561212938247,3978.5077373798076,0.16043795072115385,calm
